Nama Wilayah;ADM2_PCODE;Tahun;Long;Lat;Y;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10
Jepara;ID3320;2020;110.6787;-6.5827;7.17;7.68;10343;71.99;75.84;8.28;63.67;83.61; 6.70 ; 69.92 ;20973089
Demak;ID3321;2020;110.6646;-6.9239;12.54;7.71;10128;72.22;75.4;8.41;91.54;96.30; 7.31 ; 69.79 ;18374562
Semarang;ID3322;2020;110.4739;-7.1765;7.51;8.02;11966;74.1;75.73;8.44;89.53;98.22; 4.57 ; 75.07 ;34688037
Temanggung;ID3323;2020;110.0892;-7.2749;9.96;7.24;9343;69.57;75.58;7.64;68.99;92.81; 3.85 ; 58.73 ;14890755
Kendal;ID3324;2020;110.1879;-7.0265;9.99;7.45;11425;72.29;74.43;8.27;85.37;95.78; 7.56 ; 70.50 ;30449024
Batang;ID3325;2020;109.9021;-7.0392;9.13;6.87;9431;68.65;74.69;7.56;67.91;98.09; 6.92 ; 69.78 ;15031084
Pekalongan;ID3326;2020;109.6163;-7.0517;10.19;6.91;10312;69.63;73.69;7.57;76.85;97.14; 6.97 ; 71.23 ;16047512
Pemalang;ID3327;2020;109.4259;-7.0599;16.02;6.42;8461;66.32;73.4;6.97;77.64;92.85; 7.64 ; 65.57 ;18155597
Tegal;ID3328;2020;109.1048;-6.8588;8.14;6.98;9612;68.39;71.6;7.64;81.52;96.80; 9.82 ; 66.52 ;24492666
Brebes;ID3329;2020;108.9027;-6.9592;17.03;6.21;10058;66.11;69.33;6.85;73.81;93.17; 9.83 ; 66.65 ;32693081
Kota Magelang;ID3371;2020;110.2177;-7.4797;7.58;10.39;12210;78.99;76.85;10.81;85.87;100.00; 8.59 ; 67.61 ;6312054
Kota Surakarta;ID3372;2020;110.8243;-7.5755;9.03;10.69;14761;82.21;77.22;10.99;90.03;99.40; 7.92 ; 68.84 ;34815965
Kota Salatiga;ID3373;2020;110.5084;-7.3305;4.94;10.42;15699;83.14;77.4;10.58;94.61;99.12; 7.44 ; 70.23 ;9503711
